,pl_name,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjref,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjref,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperref,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxref,st_rad,st_raderr1,st_raderr2,st_radref,st_mass,st_masserr1,st_masserr2,st_massref,st_metratio,st_metfe,pl_insol,st_teff,pl_facility,pl_locale,pl_bmassjlim,er,em,ep,ea,ers,ems,mmax,mmin
1172,Kepler-1406 b,0.098,0.016,-0.012,Morton et al. 2016,,,,Morton et al. 2016,11.62905828,6.904e-05,-6.904e-05,Morton et al. 2016,,,,Morton et al. 2016,1.12,0.18,-0.11,Morton et al. 2016,1.05,0.038,-0.038,Morton et al. 2016,[Fe/H],0.04,,5892.0,Kepler,Space,,0.14285714285714285,,5.936852179917014e-06,,0.1294642857142857,0.03619047619047619,,
1173,Kepler-1407 b,0.201,0.047,-0.028999999999999998,Morton et al. 2016,,,,Morton et al. 2016,20.07127131,1.997e-05,-1.997e-05,Holczer et al. 2016,,,,Morton et al. 2016,1.28,0.07,-0.07,Berger et al. 2018,1.1,0.103,-0.076,Morton et al. 2016,[Fe/H],0.05,,6010.0,Kepler,Space,,0.18905472636815918,,9.949544147734406e-07,,0.05468750000000001,0.08136363636363636,,
1174,Kepler-1408 b,0.106,0.006,-0.008,Berger et al. 2018,,,,Morton et al. 2016,2.99792743,2.226e-05,-2.226e-05,Gajdo&scaron; et al. 2019,,,,Morton et al. 2016,1.74,0.07,-0.07,Berger et al. 2018,1.21,1.003,-0.099,Morton et al. 2016,[Fe/H],0.0,,6170.0,Kepler,Space,,0.0660377358490566,,7.425129700354355e-06,,0.04022988505747127,0.45537190082644624,,
1175,Kepler-1409 b,0.083,0.006,-0.006999999999999999,Berger et al. 2018,,,,Morton et al. 2016,0.76486467,1.49e-06,-1.49e-06,Gajdo&scaron; et al. 2019,,,,Morton et al. 2016,0.76,0.04,-0.03,Berger et al. 2018,0.83,0.038,-0.045,Morton et al. 2016,[Fe/H],-0.03,,5160.0,Kepler,Space,,0.07831325301204818,,1.948057033409583e-06,,0.04605263157894737,0.049999999999999996,,
1176,Kepler-141 b,0.062,0.003,-0.004,Morton et al. 2016,,,,Rowe et al. 2014,3.10763919,1.049e-05,-1.049e-05,Gajdo&scaron; et al. 2019,0.039,,,Rowe et al. 2014,0.79,0.02,-0.02,Morton et al. 2016,0.84,0.03,-0.032,Morton et al. 2016,,,,4910.0,Kepler,Space,,0.056451612903225805,,3.375552745555381e-06,,0.02531645569620253,0.036904761904761905,,
1177,Kepler-141 c,0.126,0.008,-0.008, Rowe et al. 2014,,,,Rowe et al. 2014,7.01062916,2.02e-06,-2.02e-06,Holczer et al. 2016,0.067,,,Rowe et al. 2014,0.79,0.02,-0.02,Morton et al. 2016,0.84,0.03,-0.032,Morton et al. 2016,,,,4910.0,Kepler,Space,,0.06349206349206349,,2.881339112223132e-07,,0.02531645569620253,0.036904761904761905,,
1178,Kepler-1410 b,0.159,0.011000000000000001,-0.012,Morton et al. 2016,,,,Morton et al. 2016,60.86616955,9.72e-06,-9.72e-06,Holczer et al. 2016,0.2543,0.0043,-0.0038,Torres et al. 2017,0.57,0.02,-0.03,Torres et al. 2017,0.594,0.027,-0.029,Torres et al. 2017,[Fe/H],0.01,,4092.0,Kepler,Space,,0.07232704402515723,,1.596946230042498e-07,0.015926071569012976,0.04385964912280702,0.04713804713804714,,
1179,Kepler-1411 b,0.276,0.03,-0.026000000000000002,Berger et al. 2018,,,,Morton et al. 2016,86.11573945,9.22e-06,-9.22e-06,Holczer et al. 2016,,,,Morton et al. 2016,1.04,0.1,-0.09,Berger et al. 2018,0.95,0.048,-0.057,Morton et al. 2016,[Fe/H],-0.04,,5664.0,Kepler,Space,,0.10144927536231883,,1.0706521315250692e-07,,0.09134615384615384,0.05526315789473685,,
1180,Kepler-1412 b,0.09,0.006,-0.005,Berger et al. 2018,,,,Morton et al. 2016,3.6146051,2.139e-05,-2.139e-05,Morton et al. 2016,,,,Morton et al. 2016,1.53,0.07,-0.06,Berger et al. 2018,1.06,0.052,-0.045,Morton et al. 2016,[Fe/H],0.04,,5880.0,Kepler,Space,,0.06111111111111111,,5.917658888933677e-06,,0.042483660130718956,0.04575471698113207,,
1181,Kepler-1413 b,0.162,0.013999999999999999,-0.013000000000000001,Morton et al. 2016,,,,Morton et al. 2016,13.1829642,0.0001082,-0.0001082,Morton et al. 2016,,,,Morton et al. 2016,0.8,0.05,-0.05,Morton et al. 2016,0.84,0.045,-0.051,Morton et al. 2016,[Fe/H],-0.05,,5196.0,Kepler,Space,,0.08333333333333333,,8.207562302262794e-06,,0.0625,0.05714285714285715,,
