,pl_name,pl_radj,pl_radjerr1,pl_radjerr2,pl_radjref,pl_bmassj,pl_bmassjerr1,pl_bmassjerr2,pl_bmassjref,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperref,pl_orbsmax,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbsmaxref,st_rad,st_raderr1,st_raderr2,st_radref,st_mass,st_masserr1,st_masserr2,st_massref,st_metratio,st_metfe,pl_insol,st_teff,pl_facility,pl_locale,pl_bmassjlim,er,em,ep,ea,ers,ems,mmax,mmin
0,AU Mic b,0.375,0.018000000000000002,-0.018000000000000002,Plavchan et al. 2020,0.18,,,Plavchan et al. 2020,8.46321,4e-05,-4e-05,Plavchan et al. 2020,0.066,0.007,-0.006,Plavchan et al. 2020,0.75,0.03,-0.03,Plavchan et al. 2020,0.5,0.03,-0.03,Plavchan et al. 2020,,,,3700.0,Transiting Exoplanet Survey Satellite (TESS),Space,1.0,0.04800000000000001,,4.726339060474691e-06,0.0984848484848485,0.04,0.06,,
1,BD+20 594 b,0.23,0.01,-0.01,Stassun et al. 2017,0.051289999999999995,0.01888,-0.019190000000000002,Espinoza et al. 2016,41.6855,0.003,-0.003,Stassun et al. 2017,0.241,0.019,-0.017,Espinoza et al. 2016,0.93,0.06,-0.04,Espinoza et al. 2016,0.961,0.032,-0.029,Espinoza et al. 2016,[Fe/H],-0.15,,5766.0,K2,Space,0.0,0.043478260869565216,0.37112497562877766,7.196747070324214e-05,0.07468879668049794,0.053763440860215055,0.03173777315296566,0.07017,0.03209999999999999
2,CoRoT-1 b,1.715,0.03,-0.03,Bonomo et al. 2017,1.13,0.07,-0.07,Pont et al. 2010,1.50897655,1e-07,-1e-07,Turner et al. 2016,0.02752,0.00022,-0.00022999999999999998,Bonomo et al. 2017,1.23,0.02,-0.02,Bonomo et al. 2017,1.22,0.03,-0.03,Bonomo et al. 2017,[M/H],-0.3,,5950.0,CoRoT,Space,0.0,0.017492711370262388,0.06194690265486727,6.627008219577699e-08,0.008175872093023256,0.016260162601626018,0.02459016393442623,1.2,1.0599999999999998
3,CoRoT-10 b,0.97,0.07,-0.07,Bonomo et al. 2017,2.73,0.14,-0.14,Bonomo et al. 2017,13.2406,0.0002,-0.0002,Southworth 2011,0.106,0.0014,-0.0014,Southworth 2011,0.79,0.05,-0.05,Bonomo et al. 2017,0.904,0.035,-0.035,Southworth 2011,[Fe/H],0.26,,5075.0,CoRoT,Space,0.0,0.07216494845360825,0.05128205128205129,1.5105055662130114e-05,0.013207547169811321,0.06329113924050633,0.03871681415929204,2.87,2.59
4,CoRoT-11 b,1.43,0.03,-0.03,Bonomo et al. 2017,2.49,0.27,-0.27,Gandolfi et al. 2012,2.99433,1.1e-05,-1.1e-05,Southworth 2011,0.04351,0.00036,-0.00036,Gandolfi et al. 2012,1.37,0.03,-0.03,Bonomo et al. 2017,1.23,0.03,-0.03,Gandolfi et al. 2012,[Fe/H],-0.03,,6440.0,CoRoT,Space,0.0,0.02097902097902098,0.10843373493975904,3.673609789168194e-06,0.008273960009193289,0.0218978102189781,0.024390243902439025,2.7600000000000002,2.22
5,CoRoT-12 b,1.344,0.07400000000000001,-0.071,Raetz et al. 2019,0.917,0.07,-0.065, Gillon et al. 2010 ,2.82805268,6.5e-07,-6.5e-07,Raetz et al. 2019,0.04013,0.0009,-0.00093,Bonomo et al. 2017,1.05,0.04,-0.04,Southworth 2011,1.078,0.077,-0.072,Bonomo et al. 2017,[Fe/H],0.16,,5675.0,CoRoT,Space,0.0,0.053943452380952384,0.07360959651035986,2.29840131549459e-07,0.022800897084475455,0.03809523809523809,0.06910946196660482,0.9870000000000001,0.8520000000000001
6,CoRoT-13 b,0.885,0.013999999999999999,-0.013999999999999999, Cabrera et al. 2010 ,1.308,0.066,-0.066, Cabrera et al. 2010 ,4.03519,3e-05,-3e-05, Cabrera et al. 2010 ,0.05107,0.0003,-0.00031,Bonomo et al. 2017,1.01,0.03,-0.03, Cabrera et al. 2010 ,1.09,0.02,-0.02, Cabrera et al. 2010 ,[Fe/H],0.01,,5945.0,CoRoT,Space,0.0,0.015819209039548022,0.05045871559633028,7.434594157895911e-06,0.005972195026434306,0.0297029702970297,0.018348623853211007,1.374,1.242
7,CoRoT-14 b,1.09,0.07,-0.07, Tingley et al. 2011 ,7.42,0.47,-0.47,Bonomo et al. 2017,1.51214,0.00013,-0.00013,Southworth 2011,0.026910000000000003,0.0007,-0.00073,Bonomo et al. 2017,1.21,0.08,-0.08, Tingley et al. 2011 ,1.13,0.09,-0.09, Tingley et al. 2011 ,[Fe/H],0.05,,6035.0,CoRoT,Space,0.0,0.06422018348623854,0.06334231805929919,8.597087571256628e-05,0.026570048309178737,0.06611570247933884,0.07964601769911504,7.89,6.95
8,CoRoT-16 b,1.17,0.16,-0.14, Ollivier et al. 2012 ,0.535,0.085,-0.083, Ollivier et al. 2012 ,5.35227,0.0002,-0.0002, Ollivier et al. 2012 ,0.0618,0.0015,-0.0015, Ollivier et al. 2012 ,1.19,0.14,-0.13, Ollivier et al. 2012 ,1.098,0.082,-0.078, Ollivier et al. 2012 ,[M/H],0.19,,5650.0,CoRoT,Space,0.0,0.12820512820512822,0.15700934579439252,3.736732265001579e-05,0.024271844660194174,0.11344537815126052,0.07285974499089252,0.62,0.452
9,CoRoT-17 b,1.02,0.07,-0.07,Bonomo et al. 2017,2.46,0.26,-0.24,Southworth 2012,3.7681,0.0003,-0.0003,Southworth 2012,0.0461,0.0008,-0.0008, Csizmadia et al. 2011 ,1.59,0.07,-0.07,Bonomo et al. 2017,1.043,0.075,-0.047,Southworth 2012,[Fe/H],0.0,,5740.0,CoRoT,Space,0.0,0.06862745098039216,0.1016260162601626,7.961572145112921e-05,0.01735357917570499,0.04402515723270441,0.058485139022051776,2.7199999999999998,2.2199999999999998
10,CoRoT-18 b,1.146,0.039,-0.048,Raetz et al. 2019,3.27,0.17,-0.17,Southworth 2012,1.90009,5e-07,-5e-07,Raetz et al. 2019,0.0286,0.0006799999999999999,-0.0006799999999999999,Southworth 2012,0.88,0.03,-0.03,Raetz et al. 2019,0.861,0.061,-0.061,Southworth 2012,[Fe/H],-0.1,,5440.0,CoRoT,Space,0.0,0.03795811518324607,0.051987767584097865,2.6314542995331797e-07,0.023776223776223775,0.03409090909090909,0.07084785133565621,3.44,3.1
11,CoRoT-19 b,1.29,0.03,-0.03,Bonomo et al. 2017,1.11,0.06,-0.06, Guenther et al. 2012 ,3.89713,2e-05,-2e-05,Southworth 2012,0.051660000000000005,0.0006900000000000001,-0.0007,Bonomo et al. 2017,1.65,0.04,-0.04,Bonomo et al. 2017,1.21,0.05,-0.05,Bonomo et al. 2017,[Fe/H],-0.02,,6090.0,CoRoT,Space,0.0,0.023255813953488372,0.05405405405405405,5.131981740408967e-06,0.013453348819202479,0.024242424242424246,0.04132231404958678,1.1700000000000002,1.05
12,CoRoT-2 b,1.465,0.028999999999999998,-0.028999999999999998, Alonso et al. 2008 ,3.31,0.16,-0.16,&Ouml;zt&uuml;rk &amp; Erdem 2019,1.7429975,2e-07,-2e-07,&Ouml;zt&uuml;rk &amp; Erdem 2019,0.02835,0.00047000000000000004,-0.00047000000000000004,Southworth 2012,0.9,0.02,-0.02,&Ouml;zt&uuml;rk &amp; Erdem 2019,0.997,0.049,-0.049,Southworth 2012,,,,5625.0,CoRoT,Space,0.0,0.019795221843003412,0.04833836858006042,1.1474485763748943e-07,0.016578483245149912,0.022222222222222223,0.04914744232698094,3.47,3.15
13,CoRoT-20 b,0.84,0.04,-0.04,Bonomo et al. 2017,4.3,0.2,-0.2,Rey et al. 2018,9.24318,9e-06,-9e-06,Raetz et al. 2019,0.09,0.002,-0.002,Rey et al. 2018,1.02,0.05,-0.05,Bonomo et al. 2017,1.14,0.08,-0.08,Bonomo et al. 2017,,,,,CoRoT,Space,0.0,0.04761904761904762,0.04651162790697675,9.736908726217601e-07,0.022222222222222223,0.049019607843137254,0.07017543859649124,4.5,4.1
14,CoRoT-21 b,1.3,0.14,-0.14,Bonomo et al. 2017,2.26,0.31,-0.31,P&auml;tzold et al. 2012,2.72474,0.00014,-0.00014,Bonomo et al. 2017,0.0416,0.0009400000000000001,-0.001,Bonomo et al. 2017,1.95,0.21,-0.21,Bonomo et al. 2017,1.29,0.09,-0.09,Bonomo et al. 2017,[Fe/H],0.0,,6200.0,CoRoT,Space,0.0,0.1076923076923077,0.13716814159292037,5.138104920102468e-05,0.023317307692307696,0.10769230769230768,0.06976744186046512,2.57,1.9499999999999997
15,CoRoT-22 b,0.435,0.015,-0.035,Moutou et al. 2014,0.038,0.044,-0.028,Moutou et al. 2014,9.75598,0.00011,-0.00011,Moutou et al. 2014,0.092,0.0014,-0.0014,Moutou et al. 2014,1.14,0.04,-0.09,Moutou et al. 2014,1.099,0.049,-0.049,Moutou et al. 2014,[Fe/H],0.17,,5939.0,CoRoT,Space,0.0,0.0574712643678161,0.9473684210526315,1.127513586538718e-05,0.015217391304347827,0.05701754385964913,0.0445859872611465,0.08199999999999999,0.009999999999999998
16,CoRoT-23 b,1.05,0.13,-0.13,Bonomo et al. 2017,2.8,0.3,-0.3, Rouan et al. 2012 ,3.6313,0.0001,-0.0001,Bonomo et al. 2017,0.0484,0.0011,-0.0012,Bonomo et al. 2017,1.61,0.18,-0.18,Bonomo et al. 2017,1.14,0.08,-0.08,Bonomo et al. 2017,[Fe/H],0.05,,5900.0,CoRoT,Space,0.0,0.12380952380952381,0.10714285714285715,2.7538347148404156e-05,0.023760330578512397,0.11180124223602483,0.07017543859649124,3.0999999999999996,2.5
17,CoRoT-24 b,0.33,0.04,-0.04, Alonso et al. 2014,0.018,,, Alonso et al. 2014,5.1134,0.0006,-0.0006, Alonso et al. 2014,0.056,0.002,-0.002, Alonso et al. 2014,0.86,0.09,-0.09, Alonso et al. 2014,0.91,0.09,-0.09, Alonso et al. 2014,[Fe/H],0.3,,4950.0,CoRoT,Space,1.0,0.12121212121212122,,0.00011733875699143425,0.03571428571428571,0.10465116279069767,0.0989010989010989,,
18,CoRoT-24 c,0.44,0.04,-0.04, Alonso et al. 2014,0.088,0.035,-0.035, Alonso et al. 2014,11.759,0.0063,-0.0063, Alonso et al. 2014,0.098,0.003,-0.003, Alonso et al. 2014,0.86,0.09,-0.09, Alonso et al. 2014,0.91,0.09,-0.09, Alonso et al. 2014,[Fe/H],0.3,,4950.0,CoRoT,Space,0.0,0.09090909090909091,0.39772727272727276,0.0005357598435241092,0.030612244897959183,0.10465116279069767,0.0989010989010989,0.123,0.05299999999999999
19,CoRoT-25 b,1.08,0.3,-0.1,Bonomo et al. 2017,0.27,0.04,-0.04, Almenara et al. 2013 ,4.86069,6e-05,-6e-05,Bonomo et al. 2017,0.05789,0.0019,-0.00093,Bonomo et al. 2017,1.19,0.14,-0.03,Bonomo et al. 2017,1.09,0.11,-0.05,Bonomo et al. 2017,[Fe/H],-0.01,,6040.0,CoRoT,Space,0.0,0.18518518518518517,0.14814814814814814,1.2343926479573888e-05,0.024442908965278978,0.07142857142857144,0.07339449541284403,0.31,0.23
20,CoRoT-26 b,1.26,0.13,-0.07, Almenara et al. 2013 ,0.52,0.05,-0.05, Almenara et al. 2013 ,4.20474,5e-05,-5e-05, Almenara et al. 2013 ,0.0525,0.0009400000000000001,-0.00098,Bonomo et al. 2017,1.79,0.18,-0.09, Almenara et al. 2013 ,1.09,0.06,-0.06, Almenara et al. 2013 ,[Fe/H],0.01,,5590.0,CoRoT,Space,0.0,0.07936507936507937,0.09615384615384616,1.1891341676298654e-05,0.018285714285714287,0.07541899441340782,0.055045871559633024,0.5700000000000001,0.47000000000000003
21,CoRoT-27 b,1.0070000000000001,0.044000000000000004,-0.044000000000000004, Parviainen et al. 2014 ,10.39,0.55,-0.55, Parviainen et al. 2014 ,3.57532,6e-05,-6e-05, Parviainen et al. 2014 ,0.0467,0.0015,-0.0017,Bonomo et al. 2017,1.08,0.18,-0.06, Parviainen et al. 2014 ,1.05,0.11,-0.11, Parviainen et al. 2014 ,[M/H],-0.1,,5900.0,CoRoT,Space,0.0,0.04369414101290963,0.05293551491819057,1.6781714643724197e-05,0.03426124197002141,0.1111111111111111,0.10476190476190476,10.940000000000001,9.84
22,CoRoT-28 b,0.955,0.066,-0.066,Bonomo et al. 2017,0.481,0.056,-0.056,Bonomo et al. 2017,5.20851,0.00038,-0.00038,Bonomo et al. 2017,0.059,0.0027,-0.0028,Bonomo et al. 2017,1.78,0.11,-0.11,Bonomo et al. 2017,1.01,0.14,-0.14,Bonomo et al. 2017,[Fe/H],0.15,,5150.0,CoRoT,Space,0.0,0.06910994764397907,0.11642411642411643,7.295752528074247e-05,0.046610169491525424,0.06179775280898876,0.13861386138613863,0.537,0.425
23,CoRoT-29 b,0.9,0.16,-0.16,Cabrera et al. 2015,0.84,0.13,-0.12,Bonomo et al. 2017,2.85057,6e-06,-6e-06,Cabrera et al. 2015,0.039,0.0018,-0.002,Bonomo et al. 2017,0.9,0.12,-0.12,Cabrera et al. 2015,0.97,0.14,-0.14,Cabrera et al. 2015,[Fe/H],0.2,,5260.0,CoRoT,Space,0.0,0.17777777777777778,0.1488095238095238,2.1048421894568457e-06,0.04871794871794872,0.13333333333333333,0.1443298969072165,0.97,0.72
24,CoRoT-3 b,0.993,0.057999999999999996,-0.057999999999999996, Triaud et al. 2009 ,21.96,0.7,-0.7,Southworth 2011,4.2567994,3.9e-06,-3.1e-06, Triaud et al. 2009 ,0.05782999999999999,0.00085,-0.00085,Southworth 2011,1.54,0.08,-0.08, Triaud et al. 2009 ,1.359,0.059,-0.043, Triaud et al. 2009 ,,,,6740.0,CoRoT,Space,0.0,0.05840886203423967,0.03187613843351548,8.2221398546523e-07,0.014698253501642748,0.051948051948051945,0.037527593818984545,22.66,21.26
25,CoRoT-30 b,1.0090000000000001,0.076,-0.076,Bord&eacute; et al. 2020,2.9,0.22,-0.22,Bord&eacute; et al. 2020,9.06005,0.00024,-0.00024,Bord&eacute; et al. 2020,0.0844,0.0012,-0.0012,Bord&eacute; et al. 2020,0.91,0.09,-0.03,Bord&eacute; et al. 2020,0.98,0.03,-0.05,Bord&eacute; et al. 2020,[Fe/H],0.02,,5650.0,CoRoT,Space,0.0,0.07532210109018829,0.07586206896551724,2.64899200335539e-05,0.014218009478672983,0.06593406593406594,0.04081632653061225,3.12,2.6799999999999997
26,CoRoT-31 b,1.46,0.3,-0.3,Bord&eacute; et al. 2020,0.84,0.34,-0.34,Bord&eacute; et al. 2020,4.62941,0.00075,-0.00075,Bord&eacute; et al. 2020,0.0586,0.0034,-0.0034,Bord&eacute; et al. 2020,2.15,0.56,-0.66,Bord&eacute; et al. 2020,1.25,0.22,-0.21,Bord&eacute; et al. 2020,[Fe/H],0.0,,5700.0,CoRoT,Space,0.0,0.2054794520547945,0.4047619047619048,0.000162007685644607,0.058020477815699655,0.2837209302325582,0.172,1.18,0.49999999999999994
27,CoRoT-4 b,1.19,0.06,-0.05, Moutou et al. 2008 ,0.703,0.071,-0.073,Bonomo et al. 2017,9.20205,0.00037,-0.00037,Southworth 2011,0.09025,0.0006799999999999999,-0.00055,Bonomo et al. 2017,1.17,0.01,-0.03, Moutou et al. 2008 ,1.16,0.03,-0.02, Moutou et al. 2008 ,,,,6190.0,CoRoT,Space,0.0,0.046218487394957986,0.10241820768136557,4.020843181682343e-05,0.006814404432132964,0.017094017094017096,0.021551724137931036,0.7739999999999999,0.63
28,CoRoT-5 b,1.256,0.046,-0.045,Raetz et al. 2019,0.478,0.035,-0.035,Bonomo et al. 2017,4.0379156,1.2e-06,-1.2e-06,Raetz et al. 2019,0.04947,0.00026000000000000003,-0.00029, Rauer et al. 2009 ,1.11,0.04,-0.03,Raetz et al. 2019,1.0,0.02,-0.02, Rauer et al. 2009 ,[M/H],-0.25,,6100.0,CoRoT,Space,0.0,0.03622611464968153,0.07322175732217574,2.971830317602478e-07,0.0055589246007681425,0.03153153153153153,0.02,0.513,0.44299999999999995
29,CoRoT-6 b,1.166,0.035,-0.035, Fridlund et al. 2010 ,2.95,0.28,-0.28,Bonomo et al. 2017,8.886593,4e-06,-4e-06, Fridlund et al. 2010 ,0.0854,0.0013,-0.0014,Bonomo et al. 2017,1.02,0.03,-0.03, Fridlund et al. 2010 ,1.05,0.05,-0.05, Fridlund et al. 2010 ,[Fe/H],-0.2,,6090.0,CoRoT,Space,0.0,0.0300171526586621,0.09491525423728814,4.501162594033506e-07,0.015807962529274005,0.029411764705882353,0.047619047619047616,3.2300000000000004,2.67
30,CoRoT-7 b,0.141,0.006,-0.006,Barros et al. 2014,0.0151,0.00252,-0.00252, Queloz et al. 2009 ,0.85359163,1e-08,-1e-08,Stassun et al. 2017,0.017016,0.00016999999999999999,-3.6e-05,Barros et al. 2014,0.84,0.01,-0.01,Dai et al. 2019,0.913,0.017,-0.017,Barros et al. 2014,[Fe/H],0.05,,5275.0,CoRoT,Space,0.0,0.04255319148936171,0.16688741721854305,1.1715203908454444e-08,0.006053126469205454,0.011904761904761906,0.018619934282584887,0.01762,0.012580000000000001
31,CoRoT-8 b,0.619,0.016,-0.017,Raetz et al. 2019,0.22,0.03,-0.03, Borde et al. 2010 ,6.212445,7e-06,-7e-06,Raetz et al. 2019,0.06339,0.0009599999999999999,-0.00098,Bonomo et al. 2017,0.8,0.01,-0.01,Raetz et al. 2019,0.88,0.04,-0.04,Bonomo et al. 2017,[M/H],0.3,,5080.0,CoRoT,Space,0.0,0.026655896607431343,0.13636363636363635,1.1267705388136232e-06,0.015302098122732291,0.012499999999999999,0.045454545454545456,0.25,0.19
32,CoRoT-9 b,1.05,0.04,-0.04, Deeg et al. 2010 ,0.84,0.05,-0.05,Bonomo et al. 2017,95.272656,6.8e-05,-6.8e-05,Bonomo et al. 2017,0.407,0.005,-0.005, Deeg et al. 2010 ,0.94,0.04,-0.04, Deeg et al. 2010 ,0.99,0.04,-0.04, Deeg et al. 2010 ,[Fe/H],-0.01,,5625.0,CoRoT,Space,0.0,0.03809523809523809,0.05952380952380953,7.1374099195891e-07,0.012285012285012286,0.04255319148936171,0.04040404040404041,0.89,0.7899999999999999
33,CoRoTID 223977153 b,0.57,0.06,-0.05,Boufleur et al. 2017,0.15,0.1,-0.1,Boufleur et al. 2017,6.71837,1e-05,-1e-05,Boufleur et al. 2017,0.071,0.001,-0.001,Boufleur et al. 2017,0.79,0.08,-0.09,Boufleur et al. 2017,1.08,0.08,-0.07,Boufleur et al. 2017,[Fe/H],0.0,132.26,5970.0,CoRoT,Space,0.0,0.09649122807017545,0.6666666666666667,1.4884562773410812e-06,0.014084507042253523,0.10759493670886075,0.06944444444444445,0.25,0.04999999999999999
34,DS Tuc A b,0.509,0.015,-0.015,Newton et al. 2019,1.3,,,Benatti et al. 2019,8.138268,1.1e-05,-1.1e-05,Newton et al. 2019,,,,Newton et al. 2019,0.87,0.03,-0.03,Benatti et al. 2019,0.959,0.031,-0.031,Benatti et al. 2019,,0.0,,5428.0,Transiting Exoplanet Survey Satellite (TESS),Space,1.0,0.029469548133595282,,1.3516389482381263e-06,,0.034482758620689655,0.03232533889468196,,
35,EPIC 201238110 b,0.16699999999999998,0.018000000000000002,-0.04,Heller et al. 2019,,,,Heller et al. 2019,28.1656,0.0027,-0.0028,Heller et al. 2019,,,,Heller et al. 2019,0.374,0.035,-0.089,Huber et al. 2016,0.41,0.112,-0.048,Heller et al. 2019,,,,,K2,Space,,0.17365269461077848,,9.76368335842304e-05,,0.1657754010695187,0.1951219512195122,,
36,EPIC 201497682 b,0.062,0.005,-0.004,Heller et al. 2019,,,,Heller et al. 2019,2.13174,0.00022,-0.00022,Heller et al. 2019,,,,Heller et al. 2019,0.55353063,0.02304292,-0.01626825,Gaia DR2,0.78,0.085,-0.17,Heller et al. 2019,,,,,K2,Space,,0.07258064516129033,,0.00010320207905279254,,0.035509480297413715,0.16346153846153846,,
37,EPIC 201615463 c,0.109,0.019,-0.015,Heller et al. 2019,,,,Heller et al. 2019,3.80464,0.00091,-0.00105,Heller et al. 2019,,,,Heller et al. 2019,1.196219,0.17733,-0.138342,Mayo et al. 2018,1.073,0.034,-0.034,Heller et al. 2019,,,,,K2,Space,,0.1559633027522936,,0.00025758021783926994,,0.13194573903273563,0.03168685927306617,,
38,EPIC 201754305 d,0.092,0.008,-0.008,Heller et al. 2019,,,,Heller et al. 2019,2.71578,0.00031,-0.00031,Heller et al. 2019,,,,Heller et al. 2019,0.54371953,0.0206187,-0.0122909,Gaia DR2,0.67,0.03,-0.04,Heller et al. 2019,,,,,K2,Space,,0.08695652173913043,,0.0001141476850113043,,0.030263397012794447,0.05223880597014926,,
39,EPIC 201833600 c,0.08900000000000001,0.011000000000000001,-0.01,Heller et al. 2019,,,,Heller et al. 2019,3.96151,0.00046,-0.00051,Heller et al. 2019,,,,Heller et al. 2019,0.6339162,0.0449045,-0.0388143,Gaia DR2,0.611,0.056,-0.056,Heller et al. 2019,,,,,K2,Space,,0.11797752808988764,,0.0001224280640462854,,0.06603301824436732,0.0916530278232406,,
40,EPIC 201841433 b,0.098,0.012,-0.011000000000000001,Heller et al. 2019,,,,Heller et al. 2019,4.16959,0.00051,-0.00053,Heller et al. 2019,,,,Heller et al. 2019,0.62846106,0.04341984,-0.02485835,Gaia DR2,0.802,0.081,-0.163,Heller et al. 2019,,,,,K2,Space,,0.1173469387755102,,0.0001247125017088011,,0.0543217347467797,0.15211970074812967,,
41,EPIC 205950854 c,0.11699999999999999,0.013000000000000001,-0.006,Hedges et al. 2019,,,,Hedges et al. 2019,8.050722,7.5e-05,-3.8e-05,Hedges et al. 2019,,,,Hedges et al. 2019,0.83,0.09,-0.04,Hedges et al. 2019,0.907,0.032,-0.029,Heller et al. 2019,,,,5502.7,K2,Space,,0.08119658119658121,,7.018004099508093e-06,,0.0783132530120482,0.03362734288864388,,
42,EPIC 206024342 b,0.152,0.053,-0.027999999999999997,Heller et al. 2019,,,,Heller et al. 2019,4.50756,0.00062,-0.0006,Heller et al. 2019,,,,Heller et al. 2019,0.82302761,0.04159832,-0.09978878,Gaia DR2,0.928,0.082,-0.098,Heller et al. 2019,,,,,K2,Space,,0.2664473684210526,,0.00013532820417254567,,0.08589450601784793,0.09698275862068964,,
43,EPIC 206032309 b,0.09,0.021,-0.012,Heller et al. 2019,,,,Heller et al. 2019,2.87814,0.00023,-0.00026,Heller et al. 2019,,,,Heller et al. 2019,0.229,0.052,-0.025,Huber et al. 2016,0.221,0.035,-0.062,Heller et al. 2019,,,,,K2,Space,,0.18333333333333335,,8.512442063276977e-05,,0.16812227074235808,0.21945701357466063,,
44,EPIC 206042996 b,0.145,0.015,-0.017,Heller et al. 2019,,,,Heller et al. 2019,5.29711,0.00074,-0.0007,Heller et al. 2019,,,,Heller et al. 2019,0.66756052,0.03536808,-0.07011062,Gaia DR2,0.565,0.053,-0.053,Heller et al. 2019,,,,,K2,Space,,0.11034482758620691,,0.00013592317320199128,,0.07900309922462162,0.09380530973451329,,
45,EPIC 206215704 b,0.08,0.017,-0.018000000000000002,Heller et al. 2019,,,,Heller et al. 2019,2.25372,0.00047,-0.00047,Heller et al. 2019,,,,Heller et al. 2019,0.367,0.07,-0.076,Huber et al. 2016,0.407,0.095,-0.079,Heller et al. 2019,,,,,K2,Space,,0.21875000000000003,,0.00020854409598352946,,0.19891008174386923,0.21375921375921375,,
46,EPIC 206317286 b,0.086,0.01,-0.013000000000000001,Heller et al. 2019,,,,Heller et al. 2019,1.58252,0.00017,-0.00018,Heller et al. 2019,,,,Heller et al. 2019,0.66909522,0.05005538,-0.0369966,Gaia DR2,0.711,0.09,-0.025,Heller et al. 2019,,,,,K2,Space,,0.13372093023255816,,0.00011058312059247278,,0.06505201158065364,0.08087201125175808,,
47,EPIC 211822797 b,0.177,0.01,-0.01,Dressing et al. 2017,,,,Dressing et al. 2017,21.169619,0.001665,-0.001729,Mann et al. 2017,0.131,0.004,-0.005,Dressing et al. 2017,0.57,0.03,-0.03,Dressing et al. 2017,0.61,0.02,-0.02,Mann et al. 2017,,,3.5,4148.21,K2,Space,,0.056497175141242945,,8.016204731884877e-05,0.03435114503816794,0.052631578947368425,0.03278688524590164,,
48,EPIC 211945201 b,0.546,0.009000000000000001,-0.009000000000000001,Chakraborty et al. 2018,0.08495,0.04405,-0.039639999999999995,Chakraborty et al. 2018,19.49213,1e-05,-1e-05,Chakraborty et al. 2018,0.1493,0.0015,-0.0015,Livingston et al. 2018,1.39,0.02,-0.02,Livingston et al. 2018,1.18,0.03,-0.04,Chakraborty et al. 2018,[Fe/H],0.1,,6069.0,K2,Space,0.0,0.016483516483516484,0.49258387286639194,5.130275654841211e-07,0.010046885465505695,0.014388489208633094,0.029661016949152547,0.129,0.04531
49,EPIC 212297394 b,0.11800000000000001,0.006999999999999999,-0.008,Heller et al. 2019,,,,Heller et al. 2019,2.28943,0.00019,-0.00019,Heller et al. 2019,,,,Heller et al. 2019,0.74877584,0.010158,-0.02502799,Gaia DR2,0.829,0.087,-0.121,Heller et al. 2019,,,,,K2,Space,,0.0635593220338983,,8.299008923618543e-05,,0.02349567662332695,0.12545235223160434,,
50,EPIC 212424622 b,0.19399999999999998,0.06,-0.037000000000000005,Heller et al. 2019,,,,Heller et al. 2019,18.0983,0.006,-0.0058,Heller et al. 2019,,,,Heller et al. 2019,1.2247084,0.046925,-0.0049271,Gaia DR2,1.106,0.145,-0.12,Heller et al. 2019,,,,,K2,Space,,0.25000000000000006,,0.0003259974693755767,,0.021169161573481494,0.1198010849909584,,
51,EPIC 212499991 b,0.14300000000000002,0.012,-0.013999999999999999,Heller et al. 2019,,,,Heller et al. 2019,34.885,0.011,-0.01,Heller et al. 2019,,,,Heller et al. 2019,0.7575407,0.0125557,-0.0131345,Gaia DR2,0.912,0.037,-0.162,Heller et al. 2019,,,,,K2,Space,,0.0909090909090909,,0.0003009889637379963,,0.016956316670510247,0.10910087719298246,,
52,EPIC 212587672 b,0.1,0.011000000000000001,-0.008,Heller et al. 2019,,,,Heller et al. 2019,15.2841,0.0037,-0.0029,Heller et al. 2019,,,,Heller et al. 2019,0.97565925,0.00980532,-0.01325536,Gaia DR2,0.95,0.04,-0.04,Heller et al. 2019,,,,,K2,Space,,0.09500000000000001,,0.0002159106522464522,,0.011817998958140355,0.04210526315789474,,
53,EPIC 212737443 b,0.231,0.011000000000000001,-0.011000000000000001,Herath et al. 2019,,,,Herath et al. 2019,13.603,0.0013,-0.0013,Herath et al. 2019,0.098,0.004,-0.004,Herath et al. 2019,0.67,0.02,-0.02,Herath et al. 2019,0.69,0.038,-0.038,Herath et al. 2019,[Fe/H],-0.13699999999999998,,4684.0,K2,Space,,0.04761904761904762,,9.55671543041976e-05,0.04081632653061224,0.029850746268656716,0.05507246376811595,,
54,EPIC 212737443 c,0.24,0.013000000000000001,-0.013000000000000001,Herath et al. 2019,,,,Herath et al. 2019,65.55,0.0089,-0.0089,Herath et al. 2019,0.28,0.006,-0.006,Herath et al. 2019,0.67,0.02,-0.02,Herath et al. 2019,0.69,0.038,-0.038,Herath et al. 2019,[Fe/H],-0.13699999999999998,,4684.0,K2,Space,,0.054166666666666675,,0.00013577421815408086,0.021428571428571425,0.029850746268656716,0.05507246376811595,,
55,EPIC 220554210 c,0.132,0.012,-0.009000000000000001,Heller et al. 2019,,,,Heller et al. 2019,0.70531,5e-05,-5e-05,Heller et al. 2019,,,,Heller et al. 2019,1.0128958,0.0448303,-0.0452865,Gaia DR2,0.94,0.04,-0.04,Heller et al. 2019,,,,,K2,Space,,0.07954545454545454,,7.089081396832599e-05,,0.04448473377024567,0.04255319148936171,,
