mpl_name,mpl_radj,mpl_bmassj,mpl_bmassprov,mpl_orbper,mpl_orbsmax,mpl_orbeccen,mpl_orbincl,mpl_dens,mpl_orblper,mpl_ratror,mpl_discmethod,mpl_disc,mpl_reflink,mpl_def,mst_rad,mst_mass,mst_raderr1,mst_raderr2,mst_masserr1,mst_masserr2,mpl_radjerr1,mpl_radjerr2,mpl_bmassjerr1,mpl_bmassjerr2,mpl_bmassjlim,mpl_orbpererr1,mpl_orbpererr2,mpl_orbsmaxerr1,mpl_orbsmaxerr2,mpl_ratrorerr1,mpl_ratrorerr2,rowupdate,mpl_publ_date
Kepler-138 b,0.047,0.00021,Mass,10.31260000,,,,2.60000,,0.01080,Transit,2014,<a refstr=JONTOF_HUTTER_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015Natur.522..321J/abstract target=ref>Jontof-Hutter et al. 2015</a>,1,0.44,0.5210,0.02,-0.02,0.0550,-0.0550,0.003,-0.003,0.00019,-0.00012,0,0.00040000,-0.00060000,,,0.00030,-0.00030,2015-06-17,2014-03
Kepler-444 d,0.047,,,6.18939200,0.060000,0.180000,88.160,,,0.00644,Transit,2015,<a refstr=CAMPANTE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...799..170C/abstract target=ref>Campante et al. 2015</a>,1,0.75,0.7580,0.01,-0.01,0.0430,-0.0430,0.002,-0.002,,,,0.00001200,-0.00001200,0.001100,-0.001100,0.00023,-0.00020,2015-01-29,2015-02
Kepler-62 c,0.048,0.01300,Mass,12.44170000,0.092900,,89.700,,,0.00770,Transit,2013,<a refstr=BORUCKI_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013Sci...340..587B/abstract target=ref> Borucki et al. 2013 </a>,1,0.64,0.6900,0.02,-0.02,0.0200,-0.0200,0.003,-0.003,,,1,0.00010000,-0.00010000,0.000900,-0.000900,0.00040,-0.00040,2014-05-14,2013-05
Kepler-444 e,0.049,,,7.74349300,0.069600,0.100000,89.130,,,0.00664,Transit,2015,<a refstr=CAMPANTE_ET_AL__2015 href=https://ui.adsabs.harvard.edu/abs/2015ApJ...799..170C/abstract target=ref>Campante et al. 2015</a>,1,0.75,0.7580,0.01,-0.01,0.0430,-0.0430,0.002,-0.001,,,,0.00001700,-0.00001600,0.001300,-0.001300,0.00016,-0.00014,2015-01-29,2015-02
Kepler-1351 b,0.049,,,,,,,,,,Transit,2016,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,0,0.56,,0.04,-0.04,,,0.004,-0.004,,,,,,,,,,2018-09-06,
Kepler-102 c,0.051,,,7.07136076,,,,,,0.00701,Transit,2014,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,0,0.74,0.8000,0.01,-0.01,0.0250,-0.0280,0.003,-0.002,,,,0.00002571,-0.00002571,,,0.00038,-0.00019,2016-05-10,2014-02
Kepler-42 d,0.051,,,1.86516900,0.015400,,,,,0.03070,Transit,2011,<a refstr=MUIRHEAD_ET_AL__2012 href=https://ui.adsabs.harvard.edu/abs/2012arXiv1201.2189M/abstract target=ref> Muirhead et al. 2012 </a>,1,0.17,0.1300,0.04,-0.04,0.0500,-0.0500,0.016,-0.016,,,,0.00001400,-0.00001400,,,0.00190,-0.00190,2014-05-14,2012-03
Kepler-445 b,0.051,,,,,,,,,,Transit,2015,<a refstr=MANN_ET_AL__2013 href=https://ui.adsabs.harvard.edu/abs/2013ApJ...779..188M/abstract target=ref>Mann et al. 2013</a>,0,0.19,0.1590,,,,,0.060,-0.060,,,,,,,,,,2016-02-11,2015-03
Kepler-444 b,0.051,,,,,,,,,,Transit,2015,<a refstr=BERGER_ET_AL__2018 href=https://ui.adsabs.harvard.edu/abs/2018ApJ...866...99B/abstract target=ref>Berger et al. 2018</a>,0,0.83,,0.04,-0.03,,,0.004,-0.002,,,,,,,,,,2018-09-06,2015-02
Kepler-62 c,0.052,,,12.44168710,,,,,,0.00824,Transit,2013,<a refstr=MORTON_ET_AL__2016 href=https://ui.adsabs.harvard.edu/abs/2016ApJ...822...86M/abstract target=ref>Morton et al. 2016</a>,0,0.67,0.7200,0.02,-0.02,0.0290,-0.0300,0.004,-0.004,,,,0.00015230,-0.00015230,,,0.00041,-0.00057,2016-05-10,2013-05
