pl_name,pl_rvflag,pl_controvflag,pl_radj,pl_bmassj,pl_bmassprov,pl_bmassjlim,pl_radjerr1,pl_radjerr2,pl_bmassjerr1,pl_bmassjerr2,pl_orbper,pl_orbsmax,pl_orbpererr1,pl_orbpererr2,pl_orbsmaxerr1,pl_orbsmaxerr2,pl_orbeccen,pl_orbincl,pl_dens,pl_orblper,pl_ratror,pl_discmethod,pl_kepflag,pl_k2flag,pl_locale,pl_facility,pl_disc,pl_def_refname,pl_disc_refname,rowupdate,pl_publ_date,pl_insol,st_teff,st_metfe,st_metratio,pl_hostname,st_rad,st_mass,st_spstr,st_raderr1,st_raderr2,st_masserr1,st_masserr2
Kepler-220 b,0,0,0.072,,,,0.004,-0.004,,,4.15980700,0.046000,0.00001000,-0.00001000,,,,,,,,Transit,1,0,Space,Kepler,2014,Rowe et al. 2014,Rowe et al. 2014,2014-05-14,2014-03,,4632.00,,,Kepler-220,0.67,,,0.03,-0.03,,
Kepler-1611 b,0,0,0.072,,,,0.014,-0.006,,,5.17624290,,0.00005826,-0.00005826,,,,,,,0.00845,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5605.00,0.010,[Fe/H],Kepler-1611,0.93,0.94,,0.17,-0.07,0.04,-0.05
Kepler-408 b,1,0,0.073,0.01573,Mass,1,0.003,-0.003,,,2.46502000,,,,,,,,,,0.00614,Transit,1,0,Space,Kepler,2014,Marcy et al. 2014,Marcy et al. 2014,2016-10-13,2014-02,,6104.00,-0.200,[Fe/H],Kepler-408,1.23,1.08,,0.03,-0.03,0.07,-0.07
Kepler-390 b,0,0,0.073,,,,0.006,-0.006,,,6.73808800,0.065000,0.00006700,-0.00006700,,,,,,,,Transit,1,0,Space,Kepler,2014,Rowe et al. 2014,Rowe et al. 2014,2014-05-14,2014-03,,5166.00,,,Kepler-390,0.78,,,0.05,-0.05,,
Kepler-106 b,1,0,0.073,0.01668,Mass,1,0.010,-0.010,,,6.16486000,,,,,,,,,,0.00726,Transit,1,0,Space,Kepler,2014,Marcy et al. 2014,Marcy et al. 2014,2016-10-13,2014-02,,5858.00,-0.120,[Fe/H],Kepler-106,1.04,1.00,,0.17,-0.17,0.06,-0.06
K2-210 b,0,0,0.073,,,,0.009,-0.006,,,0.57023300,,0.00002800,-0.00002800,,,,84.105,,,0.00881,Transit,0,1,Space,K2,2018,Mayo et al. 2018,Mayo et al. 2018,2018-02-15,2018-02,,5396.00,0.050,[Fe/H],K2-210,0.85,0.91,,0.04,-0.03,0.02,-0.03
Kepler-1141 b,0,0,0.073,,,,0.011,-0.007,,,2.34451194,,0.00000535,-0.00000535,,,,,,,0.00704,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5791.00,0.040,[Fe/H],Kepler-1141,1.07,1.01,,0.15,-0.10,0.03,-0.04
Kepler-910 b,0,0,0.073,,,,0.004,-0.003,,,2.36436901,,0.00000883,-0.00000883,,,,,,,0.00492,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,6230.00,0.120,[Fe/H],Kepler-910,1.50,1.26,,0.03,-0.03,0.03,-0.03
Kepler-1601 b,0,0,0.073,,,,0.021,-0.010,,,2.20921951,,0.00001510,-0.00001510,,,,,,,0.00739,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5869.00,0.050,[Fe/H],Kepler-1601,1.07,1.04,,0.31,-0.12,0.07,-0.06
Kepler-1446 b,0,0,0.073,,,,0.004,-0.002,,,0.68996783,,0.00000050,-0.00000050,,,,,,,0.00976,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,4865.00,0.110,[Fe/H],Kepler-1446,0.75,0.81,,0.01,-0.01,0.02,-0.02
Kepler-32 f,0,0,0.073,,,,0.006,-0.006,,,0.74296000,0.013000,0.00007000,-0.00007000,,,,,,,0.01420,Transit,1,0,Space,Kepler,2012,Fabrycky et al. 2012,Swift et al. 2013,2016-03-24,2013-02,,3900.00,0.000,[Fe/H],Kepler-32,0.53,0.58,M1 V,0.04,-0.04,0.05,-0.05
Kepler-314 b,0,0,0.074,,,,0.011,-0.011,,,2.46106900,0.035000,0.00001300,-0.00001300,,,,,,,,Transit,1,0,Space,Kepler,2014,Rowe et al. 2014,Rowe et al. 2014,2014-05-14,2014-03,,5378.00,,,Kepler-314,0.95,,,0.14,-0.14,,
K2-257 b,0,0,0.074,,,,0.005,-0.004,,,1.60588000,0.021600,0.00014000,-0.00013000,0.000200,-0.000200,,,,,0.01530,Transit,0,1,Space,K2,2018,Livingston et al. 2018,Livingston et al. 2018,2018-07-12,,,3725.00,-0.030,[Fe/H],K2-257,0.50,0.52,,0.01,-0.01,0.01,-0.01
Kepler-1412 b,0,0,0.074,,,,0.013,-0.012,,,3.61460510,,0.00002139,-0.00002139,,,,,,,0.00623,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5880.00,0.040,[Fe/H],Kepler-1412,1.27,1.06,,0.23,-0.18,0.05,-0.04
Kepler-450 d,0,0,0.075,,,,0.006,-0.006,,,7.51464000,,0.00023000,-0.00023000,,,0.140000,,,,,Transit,1,0,Space,Kepler,2015,Van Eylen & Albrecht 2015,Van Eylen & Albrecht 2015,2015-05-21,2015-08,,,,,Kepler-450,1.57,1.35,,0.09,-0.09,0.08,-0.08
Kepler-1507 b,0,0,0.075,,,,0.008,-0.008,,,16.05062130,,0.00014470,-0.00014470,,,,,,,0.00876,Transit,1,0,Space,Kepler,2016,Morton et al. 2016,Morton et al. 2016,2016-05-10,,,5410.00,-0.030,[Fe/H],Kepler-1507,0.85,0.89,,0.09,-0.06,0.04,-0.05
